"id","journal_id","journal_type","account_id","allocation_method","allocation_entry","created_at","updated_at","allocation_factor"
45,21,"Payment",7,"qty",1.0,"2016-02-28 23:22:50.718011","2016-03-01 01:17:12.67538",0.090909090909090909
31,12,"Payment",12,"qty",3.0,"2015-12-29 18:51:44.495239","2016-03-17 15:23:26.908978",0.272727272727272727
46,21,"Payment",3,"qty",1.0,"2016-02-28 23:23:37.814872","2016-03-01 01:17:12.679354",0.090909090909090909
47,21,"Payment",12,"qty",3.0,"2016-02-28 23:23:37.828976","2016-03-17 15:21:40.929552",0.272727272727272727
54,21,"Payment",5,"qty",2.0,"2016-02-28 23:23:37.865548","2016-03-17 15:21:40.936683",0.181818181818181818
49,21,"Payment",9,"qty",1.0,"2016-02-28 23:23:37.837798","2016-03-01 01:17:12.691352",0.090909090909090909
50,21,"Payment",8,"qty",1.0,"2016-02-28 23:23:37.842414","2016-03-01 01:17:12.695085",0.090909090909090909
51,21,"Payment",11,"qty",1.0,"2016-02-28 23:23:37.846098","2016-03-01 01:17:12.698952",0.090909090909090909
78,26,"Payment",12,"qty",3.0,"2016-02-28 23:33:01.52628","2016-03-17 15:22:37.152907",0.272727272727272727
53,21,"Payment",6,"qty",1.0,"2016-02-28 23:23:37.852725","2016-03-01 01:17:12.708138",0.090909090909090909
112,30,"Payment",12,"qty",3.0,"2016-03-01 00:36:12.360458","2016-03-17 15:24:34.96604",0.272727272727272727
76,26,"Payment",5,"qty",2.0,"2016-02-28 23:32:30.630013","2016-03-17 15:22:37.146928",0.181818181818181818
77,26,"Payment",3,"qty",1.0,"2016-02-28 23:33:01.520146","2016-03-01 01:17:25.251079",0.090909090909090909
118,30,"Payment",5,"qty",2.0,"2016-03-01 00:36:12.378905","2016-03-17 15:24:34.960674",0.181818181818181818
87,28,"Payment",5,"qty",2.0,"2016-03-01 00:27:40.651243","2016-03-17 15:24:07.230281",0.181818181818181818
55,22,"Payment",9,"qty",1.0,"2016-02-28 23:25:18.514584","2016-02-28 23:29:12.686394",0.2
59,22,"Payment",3,"qty",1.0,"2016-02-28 23:29:12.662535","2016-02-28 23:29:12.695403",0.2
60,22,"Payment",7,"qty",1.0,"2016-02-28 23:29:12.66657","2016-02-28 23:29:12.704283",0.2
61,22,"Payment",8,"qty",1.0,"2016-02-28 23:29:12.669464","2016-02-28 23:29:12.716269",0.2
62,22,"Payment",6,"qty",1.0,"2016-02-28 23:29:12.672177","2016-02-28 23:29:12.724508",0.2
80,26,"Payment",7,"qty",1.0,"2016-02-28 23:33:01.535265","2016-03-01 01:17:25.265249",0.090909090909090909
81,26,"Payment",9,"qty",1.0,"2016-02-28 23:33:01.539174","2016-03-01 01:17:25.268937",0.090909090909090909
82,26,"Payment",8,"qty",1.0,"2016-02-28 23:33:01.542824","2016-03-01 01:17:25.272588",0.090909090909090909
83,26,"Payment",11,"qty",1.0,"2016-02-28 23:33:01.549323","2016-03-01 01:17:25.276386",0.090909090909090909
56,23,"Payment",8,"qty",1.0,"2016-02-28 23:26:56.257075","2016-02-28 23:29:49.423067",0.2
58,25,"Payment",6,"qty",1.0,"2016-02-28 23:28:46.279106","2016-02-28 23:31:07.972209",0.2
71,25,"Payment",3,"qty",1.0,"2016-02-28 23:30:51.649477","2016-02-28 23:31:07.979745",0.2
72,25,"Payment",7,"qty",1.0,"2016-02-28 23:30:51.653135","2016-02-28 23:31:07.98696",0.2
73,25,"Payment",9,"qty",1.0,"2016-02-28 23:30:51.656342","2016-02-28 23:31:08.001676",0.2
74,25,"Payment",8,"qty",1.0,"2016-02-28 23:30:51.658889","2016-02-28 23:31:08.021696",0.2
63,23,"Payment",3,"qty",1.0,"2016-02-28 23:29:49.399452","2016-02-28 23:29:49.428921",0.2
64,23,"Payment",7,"qty",1.0,"2016-02-28 23:29:49.402662","2016-02-28 23:29:49.434528",0.2
65,23,"Payment",9,"qty",1.0,"2016-02-28 23:29:49.405593","2016-02-28 23:29:49.440353",0.2
66,23,"Payment",6,"qty",1.0,"2016-02-28 23:29:49.408388","2016-02-28 23:29:49.446001",0.2
57,24,"Payment",7,"qty",1.0,"2016-02-28 23:27:31.128308","2016-02-28 23:30:30.660673",0.2
67,24,"Payment",3,"qty",1.0,"2016-02-28 23:30:30.635966","2016-02-28 23:30:30.666928",0.2
68,24,"Payment",9,"qty",1.0,"2016-02-28 23:30:30.639495","2016-02-28 23:30:30.675433",0.2
69,24,"Payment",8,"qty",1.0,"2016-02-28 23:30:30.642608","2016-02-28 23:30:30.681485",0.2
70,24,"Payment",6,"qty",1.0,"2016-02-28 23:30:30.645748","2016-02-28 23:30:30.687448",0.2
103,28,"Payment",12,"qty",3.0,"2016-03-01 00:35:47.334443","2016-03-17 15:24:07.246532",0.272727272727272727
85,26,"Payment",6,"qty",1.0,"2016-02-28 23:33:01.562766","2016-03-01 01:17:25.283813",0.090909090909090909
106,28,"Payment",9,"qty",1.0,"2016-03-01 00:35:47.340223","2016-03-01 01:17:40.984132",0.090909090909090909
101,28,"Payment",3,"qty",1.0,"2016-03-01 00:35:47.330201","2016-03-01 01:17:40.988297",0.090909090909090909
104,28,"Payment",7,"qty",1.0,"2016-03-01 00:35:47.336334","2016-03-01 01:17:41.000667",0.090909090909090909
